size,distance_from_center,price
1335,5.09024,5500000
1500,5.09024,5500000
1335,3.47444,5500000
1290,4.33231,5500000
1000,4.33231,5200000
1150,4.44433,4650000
850,3.6126,4500000
875,3.83992,4500000
1150,5.09024,4500000
900,4.33231,4500000
800,4.33231,4500000
780,5.09024,4100000
1338,2.85759,4000000
800,3.6126,3990000
900,3.64369,3900000
620,2.63446,3800000
1040,4.33231,3700000
800,5.09024,3600000
815,2.16739,3500000
831,3.65933,3500000
500,2.85759,3500000
900,2.057,3500000
830,2.63446,3300000
830,2.63446,3100000
850,2.63446,3000000
800,2.63446,3000000
850,3.65409,3000000
850,3.65409,3000000
330,2.63446,2800000
600,2.63446,2750000
600,2.63446,2750000
600,3.24776,2750000
600,2.63446,2700000
614,1.88458,2600000
650,2.63446,2500000
420,2.85759,2500000
810,3.64369,2500000
285,5.09024,2500000
285,5.09024,2500000
600,5.09024,2500000
850,4.33231,2500000
600,5.09024,2500000
583,2.85759,2500000
550,5.09024,2500000
285,5.09024,2500000
550,2.63446,2500000
285,4.44433,2500000
600,4.33231,2490000
880,0.156989,2200000
500,2.85759,2200000
1025,2.63446,2150000
830,2.63446,2100000
726,14.8455,2100000
400,5.09024,2000000
400,5.09024,2000000
400,4.33231,2000000
400,4.78329,2000000
400,5.09024,2000000
145,4.806,2000000
400,2.85759,2000000
400,5.09024,2000000
600,5.09024,2000000
350,2.85759,2000000
400,5.09024,2000000
370,4.7589,1999000
500,5.09024,1950000
360,5.70676,1900000
604,5.09024,1900000
360,2.85759,1900000
604,2.85759,1900000
580,4.33231,1900000
350.82,2.63446,1824260
460,4.3104,1800000
133,5.09024,1800000
133,5.23802,1800000
550,4.33231,1800000
400,2.85759,1800000
370,4.33231,1800000
400,5.09024,1700000
550,2.85759,1700000
405,2.14118,1699000
550,5.09024,1650000
550,2.63446,1600000
500,9.71245,1600000
670,5.32338,1600000
550,3.31594,1600000
290.44,2.63446,1510280
550,3.28594,1500000
450,5.17613,1500000
830,4.78557,1500000
300,2.63446,1500000
360,3.45315,1500000
300,3.41746,1500000
510,2.63446,1500000
750,4.33231,1500000
610,0.424649,1500000
550,3.28594,1500000
550,2.63446,1500000
190,2.9817,1500000
289,2.85759,1500000
2400,9.28964,1500000
600,2.63446,1500000
487,2.85759,1450000
502,5.09024,1450000
725,5.59524,1450000
504,2.85759,1450000
272.77,2.63446,1418400
450,4.33231,1400000
500,4.33231,1400000
536,4.33231,1400000
150,2.85759,1400000
300,5.09024,1400000
261.74,2.63446,1361040
162,1.43364,1359890
162,1.43364,1359890
275,5.09024,1350000
275,4.50791,1350000
156,1.43364,1312890
550,2.63446,1300000
980,5.09024,1300000
422,2.63446,1300000
420,2.63446,1300000
151,1.43364,1263890
315,0.156989,1260000
315,0.424649,1260000
151,1.43364,1259890
