size,distance_from_center,rooms,price
1335,5.09024,9,5500000
1500,5.09024,,5500000
1290,4.33231,10,5500000
1335,3.47444,11,5500000
1000,4.33231,10,5200000
1150,4.44433,6,4650000
1150,5.09024,,4500000
900,4.33231,7,4500000
800,4.33231,20,4500000
875,3.83992,5,4500000
850,3.6126,1,4500000
780,5.09024,10,4100000
1338,2.85759,20,4000000
800,3.6126,1,3990000
900,3.64369,6,3900000
620,2.63446,10,3800000
1040,4.33231,5,3700000
800,5.09024,,3600000
831,3.65933,5,3500000
500,2.85759,,3500000
815,2.16739,10,3500000
900,2.057,6,3500000
830,2.63446,10,3300000
830,2.63446,10,3100000
850,3.65409,10,3000000
850,3.65409,6,3000000
850,2.63446,6,3000000
800,2.63446,5,3000000
330,2.63446,9,2800000
600,3.24776,7,2750000
600,2.63446,10,2750000
600,2.63446,6,2750000
600,2.63446,6,2700000
614,1.88458,7,2600000
285,5.09024,,2500000
285,5.09024,9,2500000
600,5.09024,7,2500000
600,5.09024,,2500000
550,5.09024,10,2500000
285,5.09024,9,2500000
285,4.44433,9,2500000
850,4.33231,7,2500000
810,3.64369,10,2500000
420,2.85759,10,2500000
583,2.85759,7,2500000
650,2.63446,5,2500000
550,2.63446,5,2500000
600,4.33231,10,2490000
500,2.85759,6,2200000
880,0.156989,9,2200000
1025,2.63446,15,2150000
726,14.8455,7,2100000
830,2.63446,9,2100000
400,5.09024,9,2000000
400,5.09024,8,2000000
400,5.09024,10,2000000
400,5.09024,,2000000
600,5.09024,10,2000000
400,5.09024,7,2000000
145,4.806,5,2000000
400,4.78329,7,2000000
400,4.33231,14,2000000
400,2.85759,6,2000000
350,2.85759,10,2000000
370,4.7589,1,1999000
500,5.09024,10,1950000
360,5.70676,9,1900000
604,5.09024,10,1900000
580,4.33231,7,1900000
360,2.85759,1,1900000
604,2.85759,1,1900000
350.82,2.63446,4,1824260
133,5.23802,3,1800000
133,5.09024,,1800000
550,4.33231,7,1800000
370,4.33231,6,1800000
460,4.3104,6,1800000
400,2.85759,5,1800000
400,5.09024,,1700000
550,2.85759,9,1700000
405,2.14118,4,1699000
550,5.09024,6,1650000
500,9.71245,10,1600000
670,5.32338,6,1600000
550,3.31594,1,1600000
550,2.63446,,1600000
290.44,2.63446,4,1510280
2400,9.28964,9,1500000
450,5.17613,10,1500000
830,4.78557,,1500000
750,4.33231,8,1500000
360,3.45315,,1500000
300,3.41746,,1500000
550,3.28594,1,1500000
550,3.28594,12,1500000
190,2.9817,4,1500000
289,2.85759,5,1500000
300,2.63446,,1500000
510,2.63446,6,1500000
550,2.63446,9,1500000
600,2.63446,,1500000
610,0.424649,12,1500000
725,5.59524,9,1450000
502,5.09024,,1450000
487,2.85759,6,1450000
504,2.85759,8,1450000
272.77,2.63446,4,1418400
300,5.09024,10,1400000
450,4.33231,8,1400000
500,4.33231,12,1400000
536,4.33231,,1400000
150,2.85759,4,1400000
261.74,2.63446,4,1361040
162,1.43364,4,1359890
162,1.43364,4,1359890
275,5.09024,8,1350000
275,4.50791,,1350000
156,1.43364,4,1312890
980,5.09024,7,1300000
550,2.63446,,1300000
422,2.63446,10,1300000
420,2.63446,10,1300000
151,1.43364,4,1263890
315,0.424649,12,1260000
315,0.156989,7,1260000
151,1.43364,4,1259890
400,9.71245,7,1250000
560,8.41157,8,1250000
470,5.09024,10,1250000
500,5.09024,6,1250000
370,5.09024,,1250000
500,5.09024,5,1250000
600,4.33231,12,1250000
379,4.19315,8,1250000
150.69,1.43364,3,1240890
542,9.71245,6,1200000
561,6.51185,,1200000
602,5.09024,6,1200000
500,5.09024,6,1200000
460,4.95872,8,1200000
560,4.33231,9,1200000
506,4.33231,10,1200000
500,2.63446,,1200000
780,2.63446,8,1200000
350,2.14118,10,1200000
400,0.424649,5,1200000
188,5.09024,5,1170000
350,2.97668,6,1150000
425,2.63446,7,1150000
350,2.057,8,1150000
340,4.33231,13,1125000
275,4.95301,8,1120010
345,5.09024,12,1120000
400,5.09024,8,1100000
300,5.09024,6,1100000
880,5.09024,,1100000
295,4.33231,4,1100000
188,4.33231,10,1100000
550,4.06245,6,1100000
1030,4.06245,9,1100000
350,3.16964,5,1100000
400,2.85759,6,1100000
340,1.06401,7,1100000
350,0.424649,6,1100000
340,0.424649,6,1100000
450,0.364163,10,1059000
400,3.83992,10,1055000
380,3.7256,12,1050000
350,2.85759,6,1050000
470,2.63446,4,1050000
800,9.71245,15,1000000
1200,9.71245,20,1000000
400,5.09024,11,1000000
365,4.33231,7,1000000
315,4.33231,7,1000000
400,3.80532,6,1000000
315,3.64369,10,1000000
470,3.56307,6,1000000
500,2.63446,9,1000000
266,2.63446,,1000000
300,2.52048,7,1000000
360,2.057,11,1000000
462,1.89028,5,1000000
200,1.63052,6,1000000
275,1.06401,,1000000
275,1.01797,10,1000000
184,0.828897,4,1000000
200,0.691768,6,1000000
184,0.637357,6,1000000
275,0.424649,5,1000000
275,0.156989,10,1000000
275,0.156989,10,1000000
275,0.156989,10,1000000
200,0.156989,6,1000000
218,0.0827487,9,1000000
200,0.0246945,6,1000000
574,4.0173,10,997000
300,2.14118,7,990000
300,2.14118,8,990000
360,4.33231,7,980000
356,2.63446,6,970000
172,1.43364,5,960888
172,1.43364,4,960888
203,1.43364,5,955888
700,9.38009,,950000
